Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 0, 1, 1, 1, 1, 1, 1
0.000107500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.001133000000000, 0, 0, 1, 1, 1, 1, 1, 1
0.005221750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.006247250000000, 0, 0, 1, 1, 1, 1, 1, 1
0.010084250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.011109500000000, 0, 0, 1, 1, 1, 1, 1, 1
0.015230000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.016255250000000, 0, 0, 1, 1, 1, 1, 1, 1
0.020155000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.021180250000000, 0, 0, 1, 1, 1, 1, 1, 1
0.025115000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.026140500000000, 0, 0, 1, 1, 1, 1, 1, 1
0.030112000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.031137250000000, 0, 0, 1, 1, 1, 1, 1, 1
0.035166250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.036191500000000, 0, 0, 1, 1, 1, 1, 1, 1
0.040088000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.041113250000000, 0, 0, 1, 1, 1, 1, 1, 1
0.045144250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.046169500000000, 0, 0, 1, 1, 1, 1, 1, 1
0.050116500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.051141750000000, 0, 0, 1, 1, 1, 1, 1, 1
0.055231500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.056256750000000, 0, 0, 1, 1, 1, 1, 1, 1
0.060118500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.061143750000000, 0, 0, 1, 1, 1, 1, 1, 1
0.065203500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.066229000000000, 0, 0, 1, 1, 1, 1, 1, 1
0.070138000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.071163250000000, 0, 0, 1, 1, 1, 1, 1, 1
0.075145500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.076170750000000, 0, 0, 1, 1, 1, 1, 1, 1
0.080116500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.081141750000000, 0, 0, 1, 1, 1, 1, 1, 1
0.085125250000000, 0, 1, 1, 1, 1, 1, 1, 1
